date,sampling_role,matched_pair_id,matched_date,divergence
20241111,matched_low_control,M0232,20241115,0.71
20241112,matched_low_control,M0230,20241113,-0.36
20241119,matched_low_control,M0179,20241118,-0.36
20241121,matched_low_control,M0221,20240620,1.62
20241125,matched_low_control,M0181,20241203,0.09
20241127,matched_low_control,M0224,20240913,-0.95
20241129,matched_low_control,M0180,20241126,-0.07
20241202,matched_low_control,M0220,20240619,-0.25
20241209,matched_low_control,M0183,20241205,-1.63
20241210,matched_low_control,M0187,20241223,-1.51
20241211,matched_low_control,M0186,20241216,0.6
20241213,matched_low_control,M0185,20241212,1.25
20241217,matched_low_control,M0233,20241120,-1.6
20241218,matched_low_control,M0210,20240404,-1.28
20241219,matched_low_control,M0234,20241122,0.13
20241220,matched_low_control,M0182,20241204,-1.04
20241224,matched_low_control,M0184,20241206,-0.69
20241226,matched_low_control,M0188,20241227,-1.15
20250102,matched_low_control,M0269,20250103,0.41
20250108,matched_low_control,M0270,20250106,1.1
20250113,matched_low_control,M0305,20250109,0.05
20250115,matched_low_control,M0306,20250114,-0.27
20250123,matched_low_control,M0336,20250121,1.11
20250124,matched_low_control,M0337,20250122,-0.19
20250204,matched_low_control,M0307,20250203,1.16
20250205,matched_low_control,M0308,20250206,1.01
20250210,matched_low_control,M0339,20250207,-0.26
20250211,matched_low_control,M0338,20250131,-0.57
20250213,matched_low_control,M0340,20250212,-1.35
20250217,matched_low_control,M0341,20250214,-0.92
20250218,matched_low_control,M0356,20250701,0.01
20250220,matched_low_control,M0350,20250609,-0.7
20250221,matched_low_control,M0342,20250219,0.22
20250224,matched_low_control,M0353,20250618,-0.37
20250225,matched_low_control,M0355,20250625,-1.3
20250226,matched_low_control,M0348,20250602,0.31
20250227,matched_low_control,M0357,20250702,-0.07
20250228,matched_low_control,M0299,20251217,-0.82
20250307,matched_low_control,M0309,20250310,-1
20250317,matched_low_control,M0329,20250826,-0.42
20250318,matched_low_control,M0327,20250822,1.45
20250319,matched_low_control,M0325,20250819,-0.09
20250321,matched_low_control,M0310,20250320,0.09
20250324,matched_low_control,M0311,20250326,0.7
20250325,matched_low_control,M0326,20250821,0.92
20250402,matched_low_control,M0312,20250401,-0.38
20250403,matched_low_control,M0316,20250626,0.01
20250404,matched_low_control,M0314,20250617,0.69
20250408,matched_low_control,M0272,20250407,-1.06
20250411,matched_low_control,M0274,20250410,0.39
20250424,matched_low_control,M0275,20250425,-0.87
20250429,matched_low_control,M0276,20250428,1.13
20250508,matched_low_control,M0273,20250409,0.98
20250512,matched_low_control,M0271,20250107,-0.58
20250514,matched_low_control,M0361,20250902,0.4
20250515,matched_low_control,M0358,20250703,-0.34
20250519,matched_low_control,M0343,20250513,-0.61
20250522,matched_low_control,M0345,20250528,-0.76
20250527,matched_low_control,M0344,20250526,-1.76
