date,hynix_value,other_listed_value_mtm,listed_value_mtm,unlisted_value,netcash_value,unlisted_src_q,netcash_src_q,nav_basis,other_listed_value_frozen,nav_mtm,nav_company,skq_close,skq_shares,skq_shares_basis,skq_market_cap,nav_per_share_mtm,nav_discount_pct_mtm,nav_per_share_company,nav_discount_pct_company,nav_mtm_trillion,nav_company_trillion
20260112,109428900000000.0,323567942386.0,109752467942386.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,114614967942386.0,114621616036614.0,427500.0,132087115,"2025-11-24 소각 453,743주",56467241662500.0,867723.0,50.73,867773.0,50.74,114.615,114.6216
20260113,107821800000000.0,328838177115.0,108150638177115.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,113013138177115.0,113014516036614.0,426500.0,132087115,"2025-11-24 소각 453,743주",56335154547500.0,855595.0,50.15,855606.0,50.15,113.0131,113.0145
20260114,108406200000000.0,325649775538.0,108731849775538.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,113594349775538.0,113598916036614.0,435500.0,132087115,"2025-11-24 소각 453,743주",57523938582500.0,859996.0,49.36,860030.0,49.36,113.5943,113.5989
20260115,109428900000000.0,335162931234.0,109764062931234.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,114626562931234.0,114621616036614.0,429500.0,132087115,"2025-11-24 소각 453,743주",56731415892500.0,867810.0,50.51,867773.0,50.51,114.6266,114.6216
20260116,110451600000000.0,316450439776.0,110768050439776.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,115630550439776.0,115644316036614.0,446500.0,132087115,"2025-11-24 소각 453,743주",58976896847500.0,875411.0,49.0,875515.0,49.0,115.6306,115.6443
20260119,111620400000000.0,326375406661.0,111946775406661.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,116809275406661.0,116813116036614.0,435500.0,132087115,"2025-11-24 소각 453,743주",57523938582500.0,884335.0,50.75,884364.0,50.76,116.8093,116.8131
20260120,108552300000000.0,329324295072.0,108881624295072.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,113744124295072.0,113745016036614.0,427000.0,132087115,"2025-11-24 소각 453,743주",56401198105000.0,861130.0,50.41,861136.0,50.41,113.7441,113.745
20260121,108114000000000.0,330128079388.0,108444128079388.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,113306628079388.0,113306716036614.0,430000.0,132087115,"2025-11-24 소각 453,743주",56797459450000.0,857817.0,49.87,857818.0,49.87,113.3066,113.3067
20260122,110305500000000.0,319811824929.0,110625311824929.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,115487811824929.0,115498216036614.0,446500.0,132087115,"2025-11-24 소각 453,743주",58976896847500.0,874331.0,48.93,874409.0,48.94,115.4878,115.4982
20260123,112058700000000.0,324843440960.0,112383543440960.0,4093500000000.0,769000000000.0,2025Q4,2025Q4,lagged,330216036614.0,117246043440960.0,117251416036614.0,445500.0,132087115,"2025-11-24 소각 453,743주",58844809732500.0,887642.0,49.81,887682.0,49.81,117.246,117.2514
